LTER_site,local_site,year,date,block,plot,code,snow,N,temp,JGS_code,USDA_code,USDA_name,growth_habit,hits
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,BISBIS,POBI6,Polygonum bistortoides,forb,4
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,CASOCC,CAOC4,Castilleja occidentalis,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,DESCAE,DECE,Deschampsia cespitosa,graminoid,44
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,GENALG,GEAL2,Gentiana algida,forb,9
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,GEUROS,GEROT,Geum rossii var. turbinatum,forb,24
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,litter,2LTR,Litter,NA,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,MERLAN,MELA3,Mertensia lanceolata,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,moss,2MOSS,Moss,nonvascular,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,POTDIV,PODI2,Potentilla diversifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,ARTSCO,ARSC,Artemisia scopulorum,forb,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,bare,2BARE,Bare Ground,NA,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,BISBIS,POBI6,Polygonum bistortoides,forb,11
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,CALLEP,CALE4,Caltha leptosepala,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,CASOCC,CAOC4,Castilleja occidentalis,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,DESCAE,DECE,Deschampsia cespitosa,graminoid,50
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,GENALG,GEAL2,Gentiana algida,forb,8
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,GEUROS,GEROT,Geum rossii var. turbinatum,forb,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,litter,2LTR,Litter,NA,12
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,POTDIV,PODI2,Potentilla diversifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,RHOINT,RHIN11,Rhodiola integrifolia,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,5,XNX,X,N,X,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,ARTSCO,ARSC,Artemisia scopulorum,forb,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,BISBIS,POBI6,Polygonum bistortoides,forb,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,CALLEP,CALE4,Caltha leptosepala,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,17
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,CASOCC,CAOC4,Castilleja occidentalis,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,DESCAE,DECE,Deschampsia cespitosa,graminoid,29
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,GENALG,GEAL2,Gentiana algida,forb,11
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,GEUROS,GEROT,Geum rossii var. turbinatum,forb,23
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,litter,2LTR,Litter,NA,4
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,MERLAN,MELA3,Mertensia lanceolata,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,6,XXX,X,X,X,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,ARTSCO,ARSC,Artemisia scopulorum,forb,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,BISBIS,POBI6,Polygonum bistortoides,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,CALLEP,CALE4,Caltha leptosepala,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,DESCAE,DECE,Deschampsia cespitosa,graminoid,42
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,GENALG,GEAL2,Gentiana algida,forb,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,GEUROS,GEROT,Geum rossii var. turbinatum,forb,19
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,litter,2LTR,Litter,NA,12
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,moss,2MOSS,Moss,nonvascular,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,POTDIV,PODI2,Potentilla diversifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,7,XNX,X,N,X,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,4
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,ARTSCO,ARSC,Artemisia scopulorum,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,bare,2BARE,Bare Ground,NA,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,BISBIS,POBI6,Polygonum bistortoides,forb,4
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,59
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,GENALG,GEAL2,Gentiana algida,forb,8
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,16
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,litter,2LTR,Litter,NA,8
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,MERLAN,MELA3,Mertensia lanceolata,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,POTDIV,PODI2,Potentilla diversifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,8,XXW,X,X,W,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,ARTSCO,ARSC,Artemisia scopulorum,forb,9
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,bare,2BARE,Bare Ground,NA,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,BISBIS,POBI6,Polygonum bistortoides,forb,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,CALLEP,CALE4,Caltha leptosepala,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,47
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,GENALG,GEAL2,Gentiana algida,forb,13
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,12
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,litter,2LTR,Litter,NA,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,9,PNW,P,N,W,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,ARTSCO,ARSC,Artemisia scopulorum,forb,14
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,bare,2BARE,Bare Ground,NA,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,BISBIS,POBI6,Polygonum bistortoides,forb,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,CALLEP,CALE4,Caltha leptosepala,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,DESCAE,DECE,Deschampsia cespitosa,graminoid,39
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,GENALG,GEAL2,Gentiana algida,forb,10
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,GEUROS,GEROT,Geum rossii var. turbinatum,forb,20
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,litter,2LTR,Litter,NA,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,10,PNX,P,N,X,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,ARTSCO,ARSC,Artemisia scopulorum,forb,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,bare,2BARE,Bare Ground,NA,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,BISBIS,POBI6,Polygonum bistortoides,forb,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,CALLEP,CALE4,Caltha leptosepala,forb,4
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,CASOCC,CAOC4,Castilleja occidentalis,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,38
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,GENALG,GEAL2,Gentiana algida,forb,12
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,19
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,litter,2LTR,Litter,NA,4
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,LLOSER,LLSE,Lloydia serotina,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,LUZSPI,LUSP4,Luzula spicata,graminoid,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,moss,2MOSS,Moss,nonvascular,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,11,PXW,P,X,W,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,ARTSCO,ARSC,Artemisia scopulorum,forb,10
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,BISBIS,POBI6,Polygonum bistortoides,forb,9
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,CALLEP,CALE4,Caltha leptosepala,forb,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,12
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,CASOCC,CAOC4,Castilleja occidentalis,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,DESCAE,DECE,Deschampsia cespitosa,graminoid,32
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,GENALG,GEAL2,Gentiana algida,forb,11
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,GEUROS,GEROT,Geum rossii var. turbinatum,forb,13
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,moss,2MOSS,Moss,nonvascular,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,12,PXX,P,X,X,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,ARTSCO,ARSC,Artemisia scopulorum,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,bare,2BARE,Bare Ground,NA,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,BISBIS,POBI6,Polygonum bistortoides,forb,4
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,CASOCC,CAOC4,Castilleja occidentalis,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,35
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,GENALG,GEAL2,Gentiana algida,forb,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,39
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,litter,2LTR,Litter,NA,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,POTDIV,PODI2,Potentilla diversifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,13,PNW,P,N,W,TRISPI,TRSP2,Trisetum spicatum,graminoid,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,ARTSCO,ARSC,Artemisia scopulorum,forb,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,bare,2BARE,Bare Ground,NA,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,BISBIS,POBI6,Polygonum bistortoides,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,CALLEP,CALE4,Caltha leptosepala,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,52
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,GENALG,GEAL2,Gentiana algida,forb,9
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,19
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,litter,2LTR,Litter,NA,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,POTDIV,PODI2,Potentilla diversifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,14,PXW,P,X,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,1
,,,,,,,,,,,,,,
